party,id,committee,session,last,first,other,new_id,committeeID
1,15070,104,103,Torres,Esteban,Edward,80,104103
1,15081,104,103,Darden,George,W.,81,104103
1,15612,104,103,Lowey,Nita,M.,82,104103
1,29102,104,103,Thornton,Raymond,H.,83,104103
1,29134,104,103,Serrano,Jose,E.,84,104103
1,29109,104,103,DeLauro,Rosa,,85,104103
1,29149,104,103,Moran,James,P.,86,104103
1,29111,104,103,Peterson,Pete,,87,104103
1,29123,104,103,Olver,John,W.,88,104103
1,29101,104,103,Pastor,Ed,,89,104103
1,29334,104,103,Meek,Carrie,,90,104103
2,10607,104,103,McDade,Joseph,M.,91,104103
2,11036,104,103,Myers,John,T.,92,104103
2,13047,104,103,Young,C.W.,Bill,93,104103
2,14045,104,103,Regula,Ralph,S.,94,104103
2,14469,104,103,Livingston,Robert,L.,95,104103
2,14644,104,103,Lewis,Jerry,,96,104103
2,14677,104,103,Porter,John,Edward,97,104103
2,14854,104,103,Rogers,Harold,,98,104103
2,14861,104,103,Skeen,Joe,,99,104103
2,14869,104,103,Wolf,Frank,R.,100,104103
2,15094,104,103,DeLay,Tom,,101,104103
2,15105,104,103,Kolbe,Jim,,102,104103
2,15099,104,103,Gallo,Dean,A.,103,104103
2,15075,104,103,Vucanovich,Barbara,F.,104,104103
2,15106,104,103,Lightfoot,Jim,Ross,105,104103
2,15051,104,103,Packard,Ron,,106,104103
2,15090,104,103,Callahan,H.L.,(Sonny),107,104103
2,15086,104,103,Bentley,Helen,Delich,108,104103
2,15630,104,103,Walsh,James,T.,109,104103
2,29135,104,103,Taylor,Charles,H.,110,104103
2,29136,104,103,Hobson,David,L.,111,104103
2,39302,104,103,Bonilla,Henry,B.,112,104103
2,29392,104,103,Istook,Ernest,J.,113,104103
1,13003,106,103,Aspin,Les,,114,106103
1,11035,106,103,Montgomery,G.V.,(Sonny),115,106103
1,13011,106,103,Dellums,Ronald,V.,116,106103
1,14051,106,103,Schroeder,Patricia,S.,117,106103
1,14636,106,103,Hutto,Earl,D.,118,106103
1,14451,106,103,Skelton,Ike,,119,106103
1,14843,106,103,McCurdy,Dave,,120,106103
1,14251,106,103,LLoyd,Marilyn,,121,106103
1,15060,106,103,Sisisky,Norman,,122,106103
1,15064,106,103,Spratt,John,M.,123,106103
1,15041,106,103,McCloskey,Francis,X.,124,106103
1,15049,106,103,Ortiz,Solomon,P.,125,106103
1,15421,106,103,Hochbrueckner,George,J.,126,106103
1,15437,106,103,Pickett,Owen,B.,127,106103
1,15430,106,103,Lancaster,H.,Martin,128,106103
1,15023,106,103,Evans,Lane,,129,106103
1,15403,106,103,Bilbray,James,H.,130,106103
1,15628,106,103,Tanner,John,S.,131,106103
1,15632,106,103,Browder,Glen,,132,106103
1,15637,106,103,Taylor,Gene,,133,106103
1,15245,106,103,Abercrombie,Neil,,134,106103
1,29121,106,103,Andrews,Thomas,H.,135,106103
1,29144,106,103,Edwards,Chet,,136,106103
1,29343,106,103,Johnson,Don,,137,106103
1,39303,106,103,Tejeda,Frank,,138,106103
1,29385,106,103,Mann,David,,139,106103
1,29360,106,103,Stupak,Bart,,140,106103
1,29358,106,103,Meehan,Martin,T.,141,106103
1,70305,106,103,Underwood,Robert,A.,142,106103
1,29318,106,103,Harman,Jane,,143,106103
1,29399,106,103,McHale,Paul,,144,106103
1,15636,106,103,Geren,Pete,,145,106103
1,29394,106,103,Furse,Elizabeth,,146,106103
2,13042,106,103,Spence,Floyd,D.,147,106103
2,14454,106,103,Stump,Robert,,148,106103
2,14835,106,103,Hunter,Duncan,L.,149,106103
2,15030,106,103,Kasich,John,R.,150,106103
2,15003,106,103,Bateman,Herbert,H.,151,106103
2,14829,106,103,Hansen,James,V.,152,106103
2,15447,106,103,Weldon,Curt,,153,106103
2,15429,106,103,Kyl,Jon,L.,154,106103
2,15439,106,103,Ravenel,Arthur,,155,106103
2,14414,106,103,Dornan,Robert,K.,156,106103
2,15419,106,103,Hefley,Joel,,157,106103
2,15615,106,103,Machtley,Ronald,K.,158,106103
2,15112,106,103,Saxton,H.,James,159,106103
2,29107,106,103,Cunningham,Randy,(Duke),160,106103
2,15424,106,103,Inhofe,James,M.,161,106103
2,29350,106,103,Buyer,Stephen,E.,162,106103
2,29359,106,103,Torkildsen,Peter,G.,163,106103
2,29329,106,103,Fowler,Tillie,,164,106103
2,39316,106,103,McHugh,John,M.,165,106103
2,29369,106,103,Talent,James,M.,166,106103
2,29300,106,103,Everett,Terry,,53,106103
2,29356,106,103,Bartlett,Roscoe,G.,167,106103
1,29313,106,103,Farr,Sam,,47,106103
1,29396,106,103,Holden,Tim,,23,106103
1,10520,113,103,Gonzalez,Henry,B.,168,113103
1,14262,113,103,Neal,Stephen,L.,169,113103
1,14248,113,103,LaFalce,John,J.,170,113103
1,14458,113,103,Vento,Bruce,F.,171,113103
1,14858,113,103,Schumer,Charles,E.,172,113103
1,14824,113,103,Frank,Barney,,173,113103
1,15104,113,103,Kanjorski,Paul,E.,174,113103
1,15427,113,103,Kennedy,Joseph,P.,175,113103
1,15412,113,103,Flake,Floyd,H.,176,113103
1,15433,113,103,Mfume,Kweisi,,177,113103
1,29106,113,103,Waters,Maxine,,178,113103
1,29114,113,103,LaRocco,Larry,,179,113103
1,29146,113,103,Orton,Bill,,180,113103
1,29112,113,103,Bacchus,Jim,,181,113103
1,29372,113,103,Klein,Herb,,182,113103
1,29379,113,103,Maloney,Carolyn,B.,183,113103
1,29335,113,103,Deutsch,Peter,,184,113103
1,29348,113,103,Gutierrez,Luis,V.,185,113103
1,29346,113,103,Rush,Bobby,L.,186,113103
1,29317,113,103,Roybal-Allard,Lucille,,187,113103
1,39315,113,103,Barrett,Thomas,M.,188,113103
1,29394,113,103,Furse,Elizabeth,,146,113103
1,29378,113,103,Velazquez,Nydia,M.,189,113103
1,29355,113,103,Wynn,Albert,R.,190,113103
1,29354,113,103,Fields,Cleo,,191,113103
1,29383,113,103,Watt,Melvin,,192,113103
1,29380,113,103,Hinchey,Maurice,D.,193,113103
1,29105,113,103,Dooley,Calvin,M.,16,113103
1,29395,113,103,Klink,Ron,,194,113103
1,29391,113,103,Fingerhut,Eric,D.,195,113103
2,14432,113,103,Leach,James,A.S.,196,113103
2,14842,113,103,McCollum,Bill,,197,113103
2,14855,113,103,Roukema,Margaret,,198,113103
2,14605,113,103,Bereuter,Douglas,K.,199,113103
2,15056,113,103,Ridge,Thomas,J.,200,113103
2,14655,113,103,Roth,Tobias,A.,201,113103
2,15040,113,103,McCandless,Alfred,A.,202,113103
2,15401,113,103,Baker,Richard,H.,203,113103
2,29118,113,103,Nussle,Jim,,37,113103
2,15633,113,103,Thomas,Craig,,204,113103
2,29143,113,103,Johnson,Sam,,205,113103
2,29390,113,103,Pryce,Deborah,,206,113103
2,29341,113,103,Linder,John,,207,113103
2,29365,113,103,Knollenberg,Joe,,208,113103
2,29374,113,103,Lazio,Rick,A.,209,113103
2,29367,113,103,Grams,Rod,,210,113103
2,29301,113,103,Bachus,Spencer,,211,113103
2,29314,113,103,Huffington,Michael,,212,113103
2,29327,113,103,Castle,Michael,N.,213,113103
2,29375,113,103,King,Peter,T.,214,113103
1,29147,113,103,Sanders,Bernard,,215,113103
1,14444,115,103,Panetta,Leon,E.,5,115103
1,14421,115,103,Gephardt,Richard,A.,216,115103
1,14430,115,103,Kildee,Dale,E.,217,115103
1,14405,115,103,Beilenson,Anthony,C.,218,115103
1,14656,115,103,Sabo,Martin,Olav,64,115103
1,15005,115,103,Berman,Howard,L.,219,115103
1,15077,115,103,Wise,Robert,E.,220,115103
1,15013,115,103,Bryant,John,,221,115103
1,15064,115,103,Spratt,John,M.,123,115103
1,14664,115,103,Stenholm,Charles,W.,7,115103
1,14824,115,103,Frank,Barney,,173,115103
1,15019,115,103,Cooper,Jim,,222,115103
1,15444,115,103,Slaughter,Louise,M.,223,115103
1,15617,115,103,Parker,Mike,,224,115103
1,14808,115,103,Coyne,William,J.,225,115103
1,14877,115,103,Kennelly,Barbara,B.,226,115103
1,15001,115,103,Andrews,Michael,A.,227,115103
1,15083,115,103,Mollohan,Alan,B.,72,115103
1,15100,115,103,Gordon,Bart,,228,115103
1,15438,115,103,Price,David,E.,76,115103
1,15453,115,103,Costello,Jerry,F.,229,115103
1,15609,115,103,Johnston,Harry,A.,230,115103
1,10757,115,103,Mink,Patsy,T.,231,115103
1,29146,115,103,Orton,Bill,,180,115103
1,29140,115,103,Blackwell,Lucien,E.,232,115103
1,29384,115,103,Pomeroy,Earl,,22,115103
2,15030,115,103,Kasich,John,R.,150,115103
2,15108,115,103,McMillan,J.,Alex,233,115103
2,15105,115,103,Kolbe,Jim,,102,115103
2,15449,115,103,Shays,Christopher,,234,115103
2,14661,115,103,Snowe,Olympia,J.B.,235,115103
2,15445,115,103,Smith,Lamar,S.,236,115103
2,15601,115,103,Cox,C.,Christopher,237,115103
2,29108,115,103,Allard,Wayne,R.,35,115103
2,29333,115,103,Miller,Dan,,238,115103
2,29374,115,103,Lazio,Rick,A.,209,115103
2,29371,115,103,Franks,Bob,,239,115103
2,29364,115,103,Smith,Nick,,52,115103
2,39300,115,103,Inglis,Bob,,240,115103
2,29388,115,103,Hoke,Martin,R.,241,115103
2,15420,115,103,Herger,Wally,,242,115103
2,15406,115,103,Bunning,Jim,,243,115103
2,29136,115,103,Hobson,David,L.,111,115103
1,15632,115,103,Browder,Glen,,132,115103
1,29309,115,103,Woolsey,Lynn,,244,115103
1,14053,120,103,Stark,Fortney,Pete,245,120103
1,15076,120,103,Wheat,Alan,,246,120103
1,15613,120,103,McDermott,James,A.,247,120103
1,70303,120,103,Norton,Eleanor,Holmes,248,120103
1,15033,120,103,Levin,Sander,M.,249,120103
1,15431,120,103,Lewis,John,R.,250,120103
1,29120,120,103,Jefferson,William,J.,251,120103
2,14802,120,103,Bliley,Thomas,J.,252,120103
2,15621,120,103,Rohrabacher,Dana,,253,120103
2,15112,120,103,Saxton,H.,James,159,120103
2,15402,120,103,Ballenger,Cass,,254,120103
1,13011,120,103,Dellums,Ronald,V.,116,120103
1,10727,124,103,Ford,William,D.,255,124103
1,12009,124,103,Clay,William,L.,256,124103
1,14256,124,103,Miller,George,,257,124103
1,14441,124,103,Murphy,Austin,J.,258,124103
1,14430,124,103,Kildee,Dale,E.,217,124103
1,14672,124,103,Williams,Pat,,50,124103
1,14879,124,103,Martinez,Matthew,G.,259,124103
1,15050,124,103,Owens,Major,R.,260,124103
1,15442,124,103,Sawyer,Thomas,C.,261,124103
1,15619,124,103,Payne,Donald,M.,262,124103
1,15629,124,103,Unsoeld,Jolene,,263,124103
1,10757,124,103,Mink,Patsy,T.,231,124103
1,29132,124,103,Andrews,Robert,E.,264,124103
1,29142,124,103,Reed,John,F.,265,124103
1,29117,124,103,Roemer,Timothy,J.,266,124103
1,15603,124,103,Engel,Eliot,L.,267,124103
1,29316,124,103,Becerra,Xavier,,268,124103
1,39307,124,103,Scott,Robert,C.,269,124103
1,39304,124,103,Green,Gene,,270,124103
1,29309,124,103,Woolsey,Lynn,,244,124103
1,70304,124,103,Romero-Barcelo,Carlos,,271,124103
1,29395,124,103,Klink,Ron,,194,124103
1,29304,124,103,English,Karan,,272,124103
1,29387,124,103,Strickland,Ted,,273,124103
1,70301,124,103,de Lugo,Ron,,274,124103
1,70302,124,103,Faleomavaega,Eni,F.,275,124103
1,29353,124,103,Baesler,Scotty,,25,124103
2,14288,124,103,Goodling,William,F.,276,124103
2,14675,124,103,Petri,Thomas,E.,277,124103
2,14855,124,103,Roukema,Margaret,,198,124103
2,14827,124,103,Gunderson,Steven,,30,124103
2,15125,124,103,Armey,Richard,K.,278,124103
2,15098,124,103,Fawell,Harris,W.,279,124103
2,15103,124,103,Henry,Paul,B.,280,124103
2,15402,124,103,Ballenger,Cass,,254,124103
2,14846,124,103,Molinari,Susan,,281,124103
2,29129,124,103,Barrett,Bill,,36,124103
2,29137,124,103,Boehner,John,A.,38,124103
2,29107,124,103,Cunningham,Randy,(Duke),160,124103
2,29361,124,103,Hoekstra,Peter,,282,124103
2,29315,124,103,McKeon,Howard,P.,283,124103
2,29333,124,103,Miller,Dan,,238,124103
1,70305,124,103,Underwood,Robert,A.,142,124103
2,29327,124,103,Castle,Michael,N.,213,124103
1,2605,128,103,Dingell,John,D.,284,128103
1,14280,128,103,Waxman,Henry,A.,285,128103
1,14274,128,103,Sharp,Philip,R.,286,128103
1,14435,128,103,Markey,Edward,J.,287,128103
1,14666,128,103,Swift,Allan,B.,288,128103
1,14068,128,103,Collins,Cardiss,,289,128103
1,14667,128,103,Synar,Michael,L.,290,128103
1,14679,128,103,Tauzin,W.,J.,291,128103
1,14871,128,103,Wyden,Ron,,292,128103
1,14828,128,103,Hall,Ralph,M.,293,128103
1,15055,128,103,Richardson,Bill,,294,128103
1,15061,128,103,Slattery,Jim,,295,128103
1,15013,128,103,Bryant,John,,221,128103
1,15010,128,103,Boucher,Frederick,C.,296,128103
1,15019,128,103,Cooper,Jim,,222,128103
1,15057,128,103,Rowland,J.,Roy,297,128103
1,15107,128,103,Manton,Thomas,J.,298,128103
1,15072,128,103,Towns,Edolphus,,299,128103
1,14055,128,103,Studds,Gerry,E.,300,128103
1,15032,128,103,Lehman,Richard,H.,301,128103
1,15454,128,103,Pallone,Frank,,302,128103
1,29145,128,103,Washington,Craig,,303,128103
1,29324,128,103,Schenk,Lynn,,304,128103
1,29389,128,103,Brown,Sherrod,,305,128103
1,39313,128,103,Kreidler,Mike,,306,128103
1,29398,128,103,Margolies-Mezvinsky,Marjorie,,307,128103
1,29305,128,103,Lambert,Blanche,,51,128103
2,14040,128,103,Moorhead,Carlos,J.,308,128103
2,14802,128,103,Bliley,Thomas,J.,252,128103
2,14822,128,103,Fields,Jack,,309,128103
2,14875,128,103,Oxley,Michael,G.,310,128103
2,15006,128,103,Bilirakis,Michael,,311,128103
2,15058,128,103,Schaefer,Daniel,L.,312,128103
2,15085,128,103,Barton,Joe,L.,313,128103
2,15108,128,103,McMillan,J.,Alex,233,128103
2,15417,128,103,Hastert,J.,Dennis,314,128103
2,15446,128,103,Upton,Frederick,S.,315,128103
2,15627,128,103,Stearns,Clifford,B.,316,128103
2,15618,128,103,Paxon,L.,William,317,128103
2,15604,128,103,Gillmor,Paul,E.,318,128103
2,29150,128,103,Klug,Scott,L.,319,128103
2,29110,128,103,Franks,Gary,,320,128103
2,29397,128,103,Greenwood,James,C.,321,128103
2,29345,128,103,Crapo,Michael,D.,322,128103
1,10732,134,103,Hamilton,Lee,H.,323,134103
1,14825,134,103,Gejdenson,Sam,,324,134103
1,14837,134,103,Lantos,Tom,,325,134103
1,15071,134,103,Torricelli,Robert,G.,326,134103
1,15005,134,103,Berman,Howard,L.,219,134103
1,15000,134,103,Ackerman,Gary,L.,327,134103
1,15609,134,103,Johnston,Harry,A.,230,134103
1,15603,134,103,Engel,Eliot,L.,267,134103
1,70302,134,103,Faleomavaega,Eni,F.,275,134103
1,14265,134,103,Oberstar,James,L.,328,134103
1,14858,134,103,Schumer,Charles,E.,172,134103
1,14879,134,103,Martinez,Matthew,G.,259,134103
1,15008,134,103,Borski,Robert,A.,329,134103
1,15619,134,103,Payne,Donald,M.,262,134103
1,29132,134,103,Andrews,Robert,E.,264,134103
1,29373,134,103,Menendez,Robert,,330,134103
1,29389,134,103,Brown,Sherrod,,305,134103
1,29344,134,103,McKinney,Cynthia,A.,24,134103
1,39310,134,103,Cantwell,Maria,,331,134103
1,29337,134,103,Hastings,Alcee,L.,332,134103
1,29391,134,103,Fingerhut,Eric,D.,195,134103
1,29335,134,103,Deutsch,Peter,,184,134103
1,29355,134,103,Wynn,Albert,R.,190,134103
1,10583,134,103,Edwards,Don,,333,134103
1,15041,134,103,McCloskey,Francis,X.,124,134103
1,15442,134,103,Sawyer,Thomas,C.,261,134103
2,14015,134,103,Gilman,Benjamin,A.,334,134103
2,14288,134,103,Goodling,William,F.,276,134103
2,14432,134,103,Leach,James,A.S.,196,134103
2,14655,134,103,Roth,Tobias,A.,201,134103
2,14661,134,103,Snowe,Olympia,J.B.,235,134103
2,14239,134,103,Hyde,Henry,J.,335,134103
2,14605,134,103,Bereuter,Douglas,K.,199,134103
2,14863,134,103,Smith,Christopher,H.,336,134103
2,15014,134,103,Burton,Dan,,337,134103
2,15109,134,103,Meyers,Jan,,338,134103
2,15413,134,103,Gallegly,Elton,,339,134103
2,15634,134,103,Ros-Lehtinen,Ileana,,340,134103
2,15402,134,103,Ballenger,Cass,,254,134103
2,15621,134,103,Rohrabacher,Dana,,253,134103
2,29376,134,103,Levy,David,A.,341,134103
2,29349,134,103,Manzullo,Donald,,342,134103
2,29336,134,103,Diaz-Balart,Lincoln,,343,134103
2,29321,134,103,Royce,Ed,,344,134103
1,29348,134,103,Gutierrez,Luis,V.,185,134103
1,10713,138,103,Conyers,John,,345,138103
1,14068,138,103,Collins,Cardiss,,289,138103
1,14219,138,103,English,Glenn,L.,4,138103
1,14280,138,103,Waxman,Henry,A.,285,138103
1,14667,138,103,Synar,Michael,L.,290,138103
1,14262,138,103,Neal,Stephen,L.,169,138103
1,14837,138,103,Lantos,Tom,,325,138103
1,15050,138,103,Owens,Major,R.,260,138103
1,15072,138,103,Towns,Edolphus,,299,138103
1,15635,138,103,Condit,Gary,,14,138103
1,29330,138,103,Thurman,Karen,L.,26,138103
1,29309,138,103,Woolsey,Lynn,,244,138103
1,29346,138,103,Rush,Bobby,L.,186,138103
1,29379,138,103,Maloney,Carolyn,B.,183,138103
1,39315,138,103,Barrett,Thomas,M.,188,138103
1,15412,138,103,Flake,Floyd,H.,176,138103
1,15418,138,103,Hayes,James,A.,346,138103
1,29145,138,103,Washington,Craig,,303,138103
1,29125,138,103,Collins,Barbara-Rose,,347,138103
1,29328,138,103,Brown,Corrine,,348,138103
1,29398,138,103,Margolies-Mezvinsky,Marjorie,,307,138103
2,14612,138,103,Clinger,William,F.,349,138103
2,15040,138,103,McCandless,Alfred,A.,202,138103
2,15417,138,103,Hastert,J.,Dennis,314,138103
2,15429,138,103,Kyl,Jon,L.,154,138103
2,15449,138,103,Shays,Christopher,,234,138103
2,15624,138,103,Schiff,Steven,H.,350,138103
2,15601,138,103,Cox,C.,Christopher,237,138103
2,15633,138,103,Thomas,Craig,,204,138103
2,15634,138,103,Ros-Lehtinen,Ileana,,340,138103
2,15615,138,103,Machtley,Ronald,K.,158,138103
2,29133,138,103,Zimmer,Dick,,351,138103
2,29130,138,103,Zeliff,William,,352,138103
2,39316,138,103,McHugh,John,M.,165,138103
2,29320,138,103,Horn,Steve,,353,138103
2,29390,138,103,Pryce,Deborah,,206,138103
2,29331,138,103,Mica,John,L.,354,138103
1,29147,138,103,Sanders,Bernard,,215,138103
1,15064,138,103,Spratt,John,M.,123,138103
1,39304,138,103,Green,Gene,,270,138103
1,29360,138,103,Stupak,Bart,,140,138103
2,29386,138,103,Portman,Rob,,355,138103
1,15619,138,103,Payne,Donald,M.,262,138103
1,29127,138,103,Peterson,Collin,C.,15,138103
2,29393,138,103,Lucas,Frank,D.,48,138103
1,14048,142,103,Rose,Charlie,,3,142103
1,14666,142,103,Swift,Allan,B.,288,142103
1,12009,142,103,Clay,William,L.,256,142103
1,14825,142,103,Gejdenson,Sam,,324,142103
1,14626,142,103,Frost,J.,Martin,356,142103
1,15107,142,103,Manton,Thomas,J.,298,142103
1,14873,142,103,Hoyer,Steny,H.,68,142103
1,15082,142,103,Kleczka,Gerald,D.,357,142103
1,14430,142,103,Kildee,Dale,E.,217,142103
1,14212,142,103,Derrick,Butler,C.,358,142103
1,14877,142,103,Kennelly,Barbara,B.,226,142103
1,15408,142,103,Cardin,Benjamin,L.,359,142103
2,14669,142,103,Thomas,William,M.,360,142103
2,14627,142,103,Gingrich,Newton,L.,361,142103
2,14852,142,103,Roberts,Pat,,28,142103
2,14469,142,103,Livingston,Robert,L.,95,142103
2,29129,142,103,Barrett,Bill,,36,142103
2,29137,142,103,Boehner,John,A.,38,142103
2,39312,142,103,Dunn,Jennifer,,362,142103
1,1077,156,103,Brooks,Jack,B.,363,156103
1,10583,156,103,Edwards,Don,,333,156103
1,10713,156,103,Conyers,John,,345,156103
1,13024,156,103,Mazzoli,Romano,L.,364,156103
1,14238,156,103,Hughes,William,J.,365,156103
1,14667,156,103,Synar,Michael,L.,290,156103
1,14051,156,103,Schroeder,Patricia,S.,117,156103
1,14422,156,103,Glickman,Daniel,R.,6,156103
1,14824,156,103,Frank,Barney,,173,156103
1,14858,156,103,Schumer,Charles,E.,172,156103
1,15005,156,103,Berman,Howard,L.,219,156103
1,15010,156,103,Boucher,Frederick,C.,296,156103
1,15013,156,103,Bryant,John,,221,156103
1,15622,156,103,Sangmeister,George,E.,366,156103
1,29145,156,103,Washington,Craig,,303,156103
1,29142,156,103,Reed,John,F.,265,156103
1,29377,156,103,Nadler,Jerrold,,367,156103
1,39307,156,103,Scott,Robert,C.,269,156103
1,29385,156,103,Mann,David,,139,156103
1,29383,156,103,Watt,Melvin,,192,156103
1,29316,156,103,Becerra,Xavier,,268,156103
2,12013,156,103,Fish,Hamilton,,368,156103
2,14040,156,103,Moorhead,Carlos,J.,308,156103
2,14239,156,103,Hyde,Henry,J.,335,156103
2,14657,156,103,Sensenbrenner,F.,James,369,156103
2,14842,156,103,McCollum,Bill,,197,156103
2,15026,156,103,Gekas,George,W.,370,156103
2,15092,156,103,Coble,Howard,,371,156103
2,15445,156,103,Smith,Lamar,S.,236,156103
2,15624,156,103,Schiff,Steven,H.,350,156103
2,29126,156,103,Ramstad,Jim,,372,156103
2,15413,156,103,Gallegly,Elton,,339,156103
2,29332,156,103,Canady,Charles,T.,45,156103
2,39300,156,103,Inglis,Bob,,240,156103
2,39308,156,103,Goodlatte,Robert,W.,42,156103
1,14055,160,103,Studds,Gerry,E.,300,160103
1,14238,160,103,Hughes,William,J.,365,160103
1,14636,160,103,Hutto,Earl,D.,118,160103
1,14679,160,103,Tauzin,W.,J.,291,160103
1,15036,160,103,Lipinski,William,O.,373,160103
1,15049,160,103,Ortiz,Solomon,P.,125,160103
1,15107,160,103,Manton,Thomas,J.,298,160103
1,15437,160,103,Pickett,Owen,B.,127,160103
1,15421,160,103,Hochbrueckner,George,J.,126,160103
1,15454,160,103,Pallone,Frank,,302,160103
1,15611,160,103,Laughlin,Greg,H.,374,160103
1,15629,160,103,Unsoeld,Jolene,,263,160103
1,15637,160,103,Taylor,Gene,,133,160103
1,29142,160,103,Reed,John,F.,265,160103
1,15430,160,103,Lancaster,H.,Martin,128,160103
1,29394,160,103,Furse,Elizabeth,,146,160103
1,29324,160,103,Schenk,Lynn,,304,160103
1,39304,160,103,Green,Gene,,270,160103
1,29337,160,103,Hastings,Alcee,L.,332,160103
1,29308,160,103,Hamburg,Dan,,375,160103
1,29305,160,103,Lambert,Blanche,,51,160103
1,29312,160,103,Eshoo,Anna,G.,376,160103
1,29351,160,103,Barlow,Tom,,21,160103
1,29360,160,103,Stupak,Bart,,140,160103
1,29121,160,103,Andrews,Thomas,H.,135,160103
1,39310,160,103,Cantwell,Maria,,331,160103
1,29335,160,103,Deutsch,Peter,,184,160103
1,15000,160,103,Ackerman,Gary,L.,327,160103
2,14822,160,103,Fields,Jack,,309,160103
2,14066,160,103,Young,Donald,E.,377,160103
2,15003,160,103,Bateman,Herbert,H.,151,160103
2,15112,160,103,Saxton,H.,James,159,160103
2,15092,160,103,Coble,Howard,,371,160103
2,15447,160,103,Weldon,Curt,,153,160103
2,15424,160,103,Inhofe,James,M.,161,160103
2,15439,160,103,Ravenel,Arthur,,155,160103
2,29122,160,103,Gilchrest,Wayne,T.,378,160103
2,29107,160,103,Cunningham,Randy,(Duke),160,160103
2,29338,160,103,Kingston,Jack,,41,160103
2,29329,160,103,Fowler,Tillie,,164,160103
